agent,tf,test_type,enabled,native,profile,total,wr,balance,return_pct,max_dd,avg_win,avg_loss,avg_win_pct,avg_loss_pct,max_losers_row,trailed_wins,trailed_losses,long_pnl,short_pnl,nlongs,nshorts,avg_bars,elapsed
scalp,5m,standard,False,True,scalp,46,58.7,100.2,0.2,1.0,0.14,-0.18,0.274,-0.367,5,22,0,-0.68,0.88,23,23,2.7,19.6
scalp,15m,standard,False,False,scalp,58,51.7,99.79,-0.2,2.7,0.15,-0.17,0.307,-0.344,13,25,0,1.92,-2.13,35,23,1.3,20.4
scalp,30m,standard,False,False,scalp,24,45.8,99.8,-0.2,1.0,0.17,-0.16,0.336,-0.315,4,8,3,-0.2,-0.0,19,5,1.0,5.9
scalp,1H,standard,False,False,scalp,55,52.7,100.77,0.8,2.8,0.26,-0.26,0.519,-0.516,5,24,17,-1.38,2.16,32,23,1.0,18.7
momentum,5m,standard,False,False,momentum,6726,47.7,35.21,-64.8,80.6,0.38,-0.37,0.735,-0.742,19,2611,437,-38.64,-26.15,3357,3369,47.6,39.3
momentum,15m,standard,False,True,momentum,6068,45.9,6.1,-93.9,94.3,0.13,-0.14,0.651,-0.736,22,2254,499,-47.54,-46.36,3065,3003,15.3,34.5
momentum,15m,confirmed,False,True,momentum,5997,45.9,6.03,-94.0,94.3,0.13,-0.14,0.649,-0.737,22,2227,492,-48.31,-45.66,3032,2965,15.3,27.1
momentum,30m,standard,False,False,momentum,1728,45.7,39.87,-60.1,64.3,0.2,-0.24,0.595,-0.714,15,625,133,-35.4,-24.73,887,841,7.8,8.6
momentum,30m,confirmed,False,False,momentum,1497,45.8,46.93,-53.1,59.6,0.22,-0.26,0.617,-0.726,14,564,121,-29.98,-23.09,685,812,7.6,8.4
momentum,1H,standard,False,False,momentum,4771,45.2,8.15,-91.8,93.6,0.19,-0.2,0.651,-0.747,39,1780,455,-58.11,-33.74,2396,2375,3.7,23.9
momentum,1H,confirmed,False,False,momentum,4637,45.3,9.03,-91.0,92.8,0.19,-0.2,0.649,-0.746,38,1735,442,-59.82,-31.14,2331,2306,3.7,24.7
swing,5m,standard,False,False,swing,2057,45.9,85.04,-15.0,55.6,0.93,-0.81,1.705,-1.474,26,772,190,-51.63,36.67,1006,1051,169.1,27.9
swing,15m,standard,False,False,swing,1802,44.1,36.26,-63.7,79.8,0.55,-0.5,1.61,-1.465,22,663,183,-16.92,-46.82,851,951,57.5,26.6
swing,15m,confirmed,False,False,swing,7,57.1,101.59,1.6,2.0,0.94,-0.72,1.9,-1.452,2,2,0,1.77,-0.18,6,1,64.6,26.2
swing,30m,standard,False,False,swing,541,44.5,79.59,-20.4,55.9,0.65,-0.6,1.597,-1.429,26,202,69,-9.54,-10.86,318,223,27.2,8.4
swing,30m,confirmed,False,False,swing,49,46.9,92.74,-7.3,11.4,0.43,-0.68,0.917,-1.436,6,15,6,-0.83,-6.43,9,40,33.4,8.5
swing,1H,standard,False,False,swing,1413,49.9,95.72,-4.3,66.7,0.47,-0.48,1.449,-1.453,37,587,131,13.23,-17.51,628,785,14.0,24.0
swing,1H,confirmed,False,False,swing,33,57.6,109.08,9.1,2.1,0.84,-0.49,1.617,-0.937,3,18,5,5.54,3.54,16,17,12.7,24.2
meanrev,5m,standard,False,True,meanrev,35,48.6,95.76,-4.2,9.2,0.78,-0.97,1.634,-2.0,5,6,0,-5.5,1.25,15,20,64.7,25.3
meanrev,15m,standard,False,False,meanrev,91,37.4,76.86,-23.1,27.7,0.66,-0.8,1.557,-1.835,15,15,0,-16.6,-6.54,58,33,23.9,24.5
meanrev,15m,confirmed,False,False,meanrev,1,100.0,102.0,2.0,0,2.0,0.0,4.0,0.0,0,1,0,0,2.0,0,1,4.0,24.9
meanrev,30m,standard,False,False,meanrev,61,47.5,91.8,-8.2,12.9,0.7,-0.89,1.532,-1.902,7,11,0,-9.96,1.76,34,27,12.6,7.8
meanrev,30m,confirmed,False,False,meanrev,1,0.0,99.4,-0.6,0.6,0.0,-0.6,0.0,-1.203,1,0,0,0,-0.6,0,1,16.0,7.9
meanrev,1H,standard,False,False,meanrev,201,43.8,69.17,-30.8,46.1,0.59,-0.74,1.626,-1.914,16,26,0,-23.81,-7.02,117,84,6.2,22.6
